Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IFS - CAMPUS PROPRIA,28035283,SE,Propriá,Urbana,"RODOVIA BR 101 KM 05, CENTRO. 49900-000 Propriá - SE.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,-10.2109005,-36.83781461
IFS - CAMPUS SOCORRO,28035887,SE,Nossa Senhora do Socorro,Urbana,"AVENIDA PROFESSORA JANIA REIS BATISTA, 94 MARCOS FREIRE 2. NOVO. 49155-640 Nossa Senhora do Socorro - SE.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.8529522,-37.0731279
IFSP - CAMPUS JACAREI,35004630,SP,Jacareí,Urbana,"RUA ANTONIO FOGACA DE ALMEIDA, 200 JARDIM AMERICA. 12322-030 Jacareí - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.31752166,-45.98349593
IFSP - CAMPUS SOROCABA,35005750,SP,Sorocaba,Urbana,"RUA MARIA CINTO DE BIAGGI, 130 PISO SUPERIOR. JARDIM SANTA ROSALIA. 18095-410 Sorocaba - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.48862,-47.44442
INSTITUTO FEDERAL DE SAO PAULO CAMPUS SAO JOSE DO RIO PRETO,35007982,SP,São José do Rio Preto,Urbana,"RUA DOUTOR EDUARDO NIELSEN, 420 JARDIM CONGONHAS. 15030-070 São José do Rio Preto - SP.",Entre 51 e 200 matrículas de escolarização,Educação Profissional,                              ,                              
IFSP - CAMPUS AVANCADO JUNDIAI,35009500,SP,Jundiaí,Urbana,"AVENIDA ANGELO PELLICCIARI, 727 PARQUE RESIDENCIAL JUNDIAI II. 13213-119 Jundiaí - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.19334,-46.87797
IFSP - CAMPUS AVANCADO ILHA SOLTEIRA,35011416,SP,Ilha Solteira,Urbana,"ALAMEDA TUCURUI, 164 ZONA NORTE. 15385-268 Ilha Solteira - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-20.42105274,-51.33293875
IFSP - CAMPUS ITAQUAQUECETUBA,35011599,SP,Itaquaquecetuba,Urbana,"RUA PRIMEIRO DE MAIO, 500 ESTACAO. 08571-050 Itaquaquecetuba - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.48563827,-46.34327828
IFSP - CAMPUS SAO PAULO PIRITUBA,35011807,SP,São Paulo,Urbana,"AVENIDA MUTINGA, 951 JARDIM SANTO ELIAS. 05110-000 São Paulo - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.48786291,-46.73558045
IFSP - CAMPUS AVANCADO TUPA,35011998,SP,Tupã,Urbana,"RUA OTHON GUEDES JUNIOR, 145 PARQUE UNIVERSITARIO. 17607-325 Tupã - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-21.9233668,-50.5226468
IFSP - CAMPUS AVANCADO SAO PAULO - SAO MIGUEL PAULISTA,35013257,SP,São Paulo,Urbana,"RUA TENENTE MIGUEL DELIA, 105 VILA ROSARIA. 08021-090 São Paulo - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.498585,-46.43905167
IFSP - CAMPUS GUARULHOS,35337729,SP,Guarulhos,Urbana,"AVENIDA SALGADO FILHO, 3501 VILA RIO DE JANEIRO. 07115-000 Guarulhos - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.43962,-46.53692
INSTITUTO FEDERAL DE SAO PAULO CAMPUS - BRAGANCA PAULISTA,35337821,SP,Bragança Paulista,Urbana,"RUA MAJOR FERNANDO VALLE, 2013 JARDIM SAO MIGUEL. 12903-000 Bragança Paulista - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.94578,-46.52642
IFSP - CAMPUS SALTO,35337833,SP,Salto,Urbana,"AVENIDA DOS TRES PODERES, 375 RESIDENCIAL CENTRAL PARQUE. 13325-047 Salto - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.1967959,-47.3016216
IFSP - CAMPUS CARAGUATATUBA,35337882,SP,Caraguatatuba,Urbana,"AVENIDA BAHIA, 1739 INDAIA. 11665-071 Caraguatatuba - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.63657,-45.42587
IFSP - CAMPUS SAO JOAO DA BOA VISTA,35337900,SP,São João da Boa Vista,Urbana,"AVENIDA AVENIDA MARGINAL, 585 FAZENDA NOSSA SENHORA APARECIDA DO JAGUARI. 13871-298 São João da Boa Vista - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-21.96625,-46.81257
